order_id,order_date,region,category,units,unit_price,customer_age,discount,revenue,month
ORD-00000,2023-03-07,North,Books,8,27.55,60.0,0.26,163.1,2023-03
ORD-00001,2024-07-19,South,Sports,8,77.77,37.0,0.36,398.18,2024-07
ORD-00002,2024-04-23,North,Books,3,53.47,31.0,0.37,101.06,2024-04
ORD-00003,2023-11-17,North,Home,4,50.78,59.0,0.19,164.53,2023-11
ORD-00004,2023-11-13,East,Home,11,163.75,37.0,0.29,1278.89,2023-11
ORD-00005,2024-09-19,South,Clothing,10,132.22,36.0,0.09,1203.2,2024-09
ORD-00006,2023-03-04,West,Clothing,5,19.35,47.0,0.02,94.82,2023-03
ORD-00007,2024-05-24,South,Books,3,34.7,23.0,0.34,68.71,2024-05
ORD-00008,2023-05-28,East,Electronics,4,61.09,47.0,0.26,180.83,2023-05
ORD-00009,2023-03-10,South,Electronics,6,137.67,45.0,0.28,594.73,2023-03
ORD-00010,2024-01-20,East,Clothing,7,47.24,37.0,0.29,234.78,2024-01
ORD-00011,2024-12-14,East,Books,3,68.17,49.0,0.16,171.79,2024-12
ORD-00012,2024-06-21,South,Books,1,73.42,54.0,0.1,66.08,2024-06
ORD-00013,2024-07-10,West,Home,6,136.62,37.0,0.07,762.34,2024-07
ORD-00014,2024-06-08,South,Home,9,31.1,28.0,0.43,159.54,2024-06
ORD-00015,2024-07-28,North,Electronics,2,60.9,63.0,0.31,84.04,2024-07
ORD-00016,2024-01-11,East,Clothing,5,89.7,20.0,0.2,358.8,2024-01
ORD-00017,2023-04-04,West,Electronics,2,27.81,37.0,0.22,43.38,2023-04
ORD-00018,2024-09-05,North,Books,3,69.62,45.0,0.18,171.27,2024-09
ORD-00019,2023-11-26,South,Books,7,62.76,57.0,0.1,395.39,2023-11
ORD-00020,2024-01-01,West,Clothing,4,118.12,40.0,0.37,297.66,2024-01
ORD-00021,2023-09-29,East,Clothing,3,108.84,50.0,0.67,107.75,2023-09
ORD-00022,2023-05-14,West,Clothing,11,128.24,14.0,0.29,1001.55,2023-05
ORD-00023,2024-11-08,South,Sports,2,80.33,32.0,0.18,131.74,2024-11
ORD-00024,2024-07-25,East,Home,3,123.71,16.0,0.22,289.48,2024-07
ORD-00025,2024-04-15,South,Books,11,32.49,47.0,0.41,210.86,2024-04
ORD-00026,2023-10-22,West,Home,7,91.68,19.0,0.05,609.67,2023-10
ORD-00027,2024-08-24,North,Books,1,39.73,23.0,0.2,31.78,2024-08
ORD-00028,2024-02-03,East,Home,5,15.61,37.0,0.38,48.39,2024-02
ORD-00029,2023-11-21,South,Clothing,7,31.33,51.0,0.09,199.57,2023-11
ORD-00030,2023-11-26,East,Sports,3,44.58,36.0,0.11,119.03,2023-11
ORD-00031,2023-06-16,East,Books,7,36.98,45.0,0.16,217.44,2023-06
ORD-00032,2023-03-09,South,Books,8,188.06624999999997,44.0,0.12,1323.99,2023-03
ORD-00033,2024-02-10,West,Sports,3,81.94,35.0,0.11,218.78,2024-02
ORD-00034,2024-10-11,South,Clothing,9,109.86,25.0,0.11,879.98,2024-10
ORD-00035,2023-02-16,East,Electronics,5,34.81,45.0,0.15,147.94,2023-02
ORD-00036,2024-09-19,South,Home,11,13.17,45.0,0.32,98.51,2024-09
ORD-00037,2024-08-27,South,Clothing,1,188.06624999999997,49.0,0.48,97.79,2024-08
ORD-00038,2023-07-22,South,Home,4,9.08,42.0,0.16,30.51,2023-07
ORD-00039,2024-04-06,North,Clothing,8,32.69,24.0,0.22,203.99,2024-04
ORD-00040,2023-05-01,North,Clothing,10,96.78,46.0,0.19,783.92,2023-05
ORD-00041,2024-07-08,East,Clothing,3,45.74,38.0,0.08,126.24,2024-07
ORD-00042,2024-05-27,East,Clothing,11,70.72,32.0,0.34,513.43,2024-05
ORD-00043,2023-09-17,East,Books,3,27.29,34.0,0.23,63.04,2023-09
ORD-00044,2023-02-19,North,Home,5,81.18,30.0,0.19,328.78,2023-02
ORD-00045,2024-12-10,South,Home,4,66.39500000000001,49.0,0.06,249.65,2024-12
ORD-00046,2023-11-22,North,Electronics,5,3.56,21.0,0.09,16.2,2023-11
ORD-00047,2024-10-14,West,Home,10,66.39500000000001,26.0,0.15,564.36,2024-10
ORD-00048,2024-05-10,West,Electronics,9,93.09,34.0,0.37,527.82,2024-05
ORD-00049,2024-07-22,North,Clothing,9,38.34,57.0,0.42,200.13,2024-07
ORD-00050,2024-07-09,East,Home,3,74.04,51.0,0.15,188.8,2024-07
ORD-00051,2023-05-23,North,Electronics,11,188.06624999999997,18.0,0.04,1985.98,2023-05
ORD-00052,2023-09-24,North,Clothing,5,85.34,54.0,0.22,332.83,2023-09
ORD-00053,2023-12-08,North,Clothing,8,77.95,54.0,0.16,523.82,2023-12
ORD-00054,2023-12-30,North,Sports,8,108.8,24.0,0.29,617.98,2023-12
ORD-00055,2023-02-02,East,Sports,8,62.14,37.0,0.34,328.1,2023-02
ORD-00056,2024-02-04,West,Electronics,7,39.44,37.0,0.09,251.23,2024-02
ORD-00057,2023-04-23,North,Books,6,125.13,51.0,0.05,713.24,2023-04
ORD-00058,2024-06-27,South,Books,8,105.93,57.0,0.28,610.16,2024-06
ORD-00059,2024-05-14,East,Clothing,10,33.01,28.0,0.24,250.88,2024-05
ORD-00060,2024-11-05,West,Home,5,52.65,59.0,0.17,218.5,2024-11
ORD-00061,2024-06-28,East,Books,6,85.82,37.0,0.03,499.47,2024-06
ORD-00062,2023-09-26,North,Clothing,2,17.02,34.0,0.13,29.61,2023-09
