order_id,order_date,region,category,units,unit_price,customer_age,discount
ORD-00000,2023-03-07,NORTH,Books,8,27.55,60.0,0.26
ORD-00001,2024-07-19,south,Sports,8,77.77,,0.36
ORD-00002,2024-04-23,North,Books,3,53.47,31.0,0.37
ORD-00003,2023-11-17,North,Home,4,50.78,59.0,0.19
ORD-00004,2023-11-13,east,Home,11,163.75,,0.29
ORD-00005,2024-09-19,South,Clothing,10,132.22,36.0,0.09
ORD-00006,2023-03-04,West,Clothing,5,19.35,47.0,0.02
ORD-00007,2024-05-24,South,Books,3,34.7,23.0,0.34
ORD-00008,2023-05-28,east,Electronics,4,61.09,47.0,0.26
ORD-00009,2023-03-10,South,Electronics,6,137.67,45.0,0.28
ORD-00010,2024-01-20,EAST,Clothing,7,47.24,,0.29
ORD-00011,2024-12-14,east,Books,3,68.17,49.0,0.16
ORD-00012,2024-06-21,South,Books,1,73.42,54.0,0.1
ORD-00013,2024-07-10,West,Home,6,136.62,37.0,0.07
ORD-00014,2024-06-08,SOUTH,Home,9,31.1,28.0,0.43
ORD-00015,2024-07-28,north,Electronics,2,60.9,63.0,0.31
ORD-00016,2024-01-11,EAST,Clothing,5,89.7,20.0,0.2
ORD-00017,2023-04-04,WEST,Electronics,2,27.81,,0.22
ORD-00018,2024-09-05,NORTH,Books,3,69.62,45.0,0.18
ORD-00019,2023-11-26,SOUTH,Books,7,62.76,57.0,0.1
ORD-00020,2024-01-01,WEST,Clothing,4,118.12,40.0,0.37
ORD-00021,2023-09-29,EAST,Clothing,3,108.84,50.0,0.67
ORD-00022,2023-05-14,WEST,Clothing,11,128.24,14.0,0.29
ORD-00023,2024-11-08,South,Sports,2,80.33,32.0,0.18
ORD-00024,2024-07-25,east,Home,3,123.71,16.0,0.22
ORD-00025,2024-04-15,SOUTH,Books,11,32.49,47.0,0.41
ORD-00026,2023-10-22,WEST,Home,7,91.68,19.0,0.05
ORD-00027,2024-08-24,,Books,1,39.73,23.0,0.2
ORD-00028,2024-02-03,East,Home,5,15.61,-5.0,0.38
ORD-00029,2023-11-21,South,Clothing,7,31.33,51.0,0.09
ORD-00030,2023-11-26,East,Sports,3,44.58,36.0,0.11
ORD-00031,2023-06-16,EAST,Books,7,36.98,45.0,0.16
ORD-00032,2023-03-09,south,Books,8,189.22,44.0,0.12
ORD-00033,2024-02-10,west,Sports,3,81.94,35.0,0.11
ORD-00034,2024-10-11,South,Clothing,9,109.86,25.0,0.11
ORD-00035,2023-02-16,East,Electronics,5,34.81,45.0,0.15
ORD-00036,2024-09-19,SOUTH,Home,11,13.17,45.0,0.32
ORD-00037,2024-08-27,South,Clothing,1,205.48,49.0,0.48
ORD-00038,2023-07-22,South,Home,4,9.08,42.0,0.16
ORD-00039,2024-04-06,North,Clothing,8,32.69,24.0,0.22
ORD-00040,2023-05-01,North,Clothing,10,96.78,46.0,0.19
ORD-00041,2024-07-08,east,Clothing,3,45.74,38.0,0.08
ORD-00042,2024-05-27,EAST,Clothing,11,70.72,32.0,0.34
ORD-00043,2023-09-17,East,Books,3,27.29,34.0,0.23
ORD-00044,2023-02-19,north,Home,5,81.18,30.0,0.19
ORD-00045,2024-12-10,South,Home,4,,49.0,0.06
ORD-00046,2023-11-22,north,Electronics,5,3.56,21.0,0.09
ORD-00047,2024-10-14,West,Home,10,,26.0,0.15
ORD-00048,2024-05-10,west,Electronics,9,93.09,34.0,0.37
ORD-00049,2024-07-22,north,Clothing,9,38.34,57.0,0.42
ORD-00050,2024-07-09,east,Home,3,74.04,51.0,0.15
